Designator,Mid X,Mid Y,Rotation,Layer
ANTENNA,350.02,-89.7215,90.0,bottom
C1,340.875,-102.5254,0.0,bottom
C10,347.339,-98.438,270.0,bottom
C11,349.489,-98.443,270.0,bottom
C12,348.72,-103.305,90.0,bottom
C13,344.995,-103.72,270.0,bottom
C14,336.991014,-102.445,90.0,bottom
C15,336.725,-98.8,180.0,bottom
C16,349.7,-95.8,0.0,bottom
C17,345.1742,-142.0589,90.0,bottom
C18,339.415,-130.9,0.0,bottom
C19,348.145,-130.38,90.0,bottom
C2,338.995,-102.445,90.0,bottom
C20,345.545,-130.445,90.0,bottom
C21,347.1554,-130.0695,90.0,bottom
C23,346.7868,-139.7345,0.0,bottom
C24,342.52,-136.1425,0.0,bottom
C27,61.9665,-105.333,90.0,bottom
C28,63.9635,-105.732,270.0,bottom
C29,348.24,-101.175,180.0,bottom
C3,319.57,-94.855,90.0,bottom
C31,337.995,-102.445,90.0,bottom
C32,336.225,-95.225,0.0,bottom
C33,336.225,-94.125,0.0,bottom
C34,336.2276,-96.325,0.0,bottom
C35,347.725,-93.6,180.0,bottom
C36,347.725,-94.6,180.0,bottom
C37,342.875,-102.5,0.0,bottom
C38,346.675,-145.125,180.0,bottom
C39,313.964,-100.625,0.0,bottom
C4,350.47,-130.175,180.0,bottom
C5,350.47,-128.175,180.0,bottom
C6,350.47,-129.175,180.0,bottom
C7,310.34,-87.46,0.0,bottom
C8,310.34,-93.225,0.0,bottom
C9,339.475,-132.4,0.0,bottom
D1,80.1765,-97.722,90.0,bottom
D10,251.6265,-97.722,90.0,bottom
D11,270.6765,-97.722,90.0,bottom
D12,289.7265,-97.722,90.0,bottom
D13,308.7765,-97.722,90.0,bottom
D14,330.2735,-87.734,180.0,bottom
D15,84.939,-116.772,90.0,bottom
D16,108.7515,-116.772,90.0,bottom
D17,127.8015,-116.772,90.0,bottom
D18,146.8515,-116.772,90.0,bottom
D19,165.9015,-116.772,90.0,bottom
D2,99.2265,-97.722,90.0,bottom
D20,184.9515,-116.772,90.0,bottom
D21,204.0015,-116.772,90.0,bottom
D22,223.0515,-116.772,90.0,bottom
D23,242.1015,-116.772,90.0,bottom
D24,261.1515,-116.772,90.0,bottom
D25,280.2015,-116.772,90.0,bottom
D26,299.2515,-116.772,90.0,bottom
D27,318.3015,-116.772,90.0,bottom
D28,342.114,-116.772,90.0,bottom
D29,87.32025,-135.822,90.0,bottom
D3,118.2765,-97.722,90.0,bottom
D30,113.514,-135.822,90.0,bottom
D31,132.564,-135.822,90.0,bottom
D32,151.614,-135.822,90.0,bottom
D33,170.664,-135.822,90.0,bottom
D34,189.714,-135.822,90.0,bottom
D35,208.764,-135.822,90.0,bottom
D36,227.814,-135.822,90.0,bottom
D37,246.864,-135.822,90.0,bottom
D38,265.914,-135.822,90.0,bottom
D39,284.964,-135.822,90.0,bottom
D4,137.3265,-97.722,90.0,bottom
D40,304.014,-135.822,90.0,bottom
D41,334.97025,-135.822,90.0,bottom
D42,92.08275,-154.872,90.0,bottom
D43,123.039,-154.872,90.0,bottom
D44,142.089,-154.872,90.0,bottom
D45,161.139,-154.872,90.0,bottom
D46,180.189,-154.872,90.0,bottom
D47,199.239,-154.872,90.0,bottom
D48,218.289,-154.872,90.0,bottom
D49,237.339,-154.872,90.0,bottom
D5,156.3765,-97.722,90.0,bottom
D50,256.389,-154.872,90.0,bottom
D51,275.439,-154.872,90.0,bottom
D52,294.489,-154.872,90.0,bottom
D53,330.20775,-154.872,90.0,bottom
D54,82.55775,-173.922,90.0,bottom
D55,106.37025,-173.922,90.0,bottom
