Designator,Footprint,Quantity,Value,LCSC Part #
"3V3, VBUS",TestPoint_Pad_D2.0mm,2,USB_VBUS,
5V,TestPoint_Pad_D2.0mm,1,5V,
"C1, C10, C13, C14, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C6, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C8, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89, C90, C91, C92, C93",0402,70,100nF,
"C11, C15, C4",0402,3,1uF,
"C12, C17, C18, C19",0402,4,8pF,
C16,0402,1,2.2uF,
"C2, C3, C5",0402,3,4.7uF,
"C20, C21, C22",0603,3,10uF,
"C23, C24, C25",0402,3,3.3uF,
C26,0201,1,1pF,
"C27, C29",0402,2,0.1uF,
C28,0201,1,1.2pF,
C9,0402,1,100pF,
D1,D_SMB,1,D_TVS,
"D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D7, D8, D9",Diode_SOD-123,61,Diode,
FB1,1206,1,300R,
J1,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,Conn_02x01_MountingPin,
J2,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04_Socket,
J4,JST_SH_SM05B-SRSS-TB_1x05-1MP_P1.00mm_Horizontal,1,Conn_01x05_MountingPin,
J5,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,Conn_Coaxial,
L1,0805,1,2.2uH,
L2,0201,1,4.7nH,
L3,0201,1,2.2nH,
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED3, LED30, LED31, LED32, LED33, LED34, LED35, LED36, LED37, LED38, LED39, LED4, LED40, LED41, LED42, LED43, LED44, LED45, LED46, LED47, LED48, LED49, LED5, LED50, LED51, LED52, LED53, LED54, LED55, LED56, LED57, LED58, LED59, LED6, LED60, LED61, LED7, LED8, LED9",LED_SK6812-E,61,SK6812-E,
PMIC,QFN50P500X500X90-33N,1,NPM1300-QEAA-R,
Q1,SOT-23,1,DMG2301L,
R1,0805,1,250k,
"R2, R3, R4, R6",0402,4,10k,
R5,0402,1,300,
"S1, S10, S11, S12, S13, S15, S16, S17, S18, S19, S20, S21, S22, S23, S24, S25, S26, S27, S28, S29, S30, S32, S33, S34, S35, S36, S37, S38, S39, S40, S41, S42, S43, S44, S45, S46, S47, S49, S50, S51, S52, S54, S55, S6, S7, S8",MX-Hotswap-1U,46,Keyswitch,
"S14, S48, S5, S53, S56, S61, S9",MX-Hotswap-1.25U,7,Keyswitch,
"S2, S58",MX-Hotswap-1.5U,2,Keyswitch,
S3,MX-Hotswap-1.75U,1,Keyswitch,
S31,MX-Hotswap-6.25U-ReversedStabilizers,1,Keyswitch,
"S4, S59",MX-Hotswap-2.25U,2,Keyswitch,
S57,MX-Hotswap-2U,1,Keyswitch,
S60,MX-Hotswap-2.75U,1,Keyswitch,
"SHPHLD, VDD",TestPoint_Pad_D2.0mm,2,VBUSOUT,
U1,Nordic_AQFN-73-1EP_7x7mm_P0.5mm,1,nRF52840,
U2,SOT-563,1,TXB0101DRL,
Y1,ABM11W300000MHZ4B1UT3,1,ABM11W-32.0000MHZ-7-D1X-T3,
Y2,XTAL_ECS-.327-7-12-TR,1,ECS-.327-7-12-TR,
