Designator,Mid X,Mid Y,Rotation,Layer
3V3,175.87,-169.5,0.0,top
5V,157.37,-165.95,0.0,bottom
C1,219.52,-180.98,90.0,bottom
C10,225.77,-180.88,270.0,bottom
C11,221.52,-180.98,90.0,bottom
C12,230.72,-181.03,90.0,bottom
C13,95.79,-151.75,0.0,bottom
C14,159.54,-170.0,0.0,bottom
C15,167.0,-174.5,180.0,bottom
C16,166.52,-171.75,0.0,bottom
C17,226.72,-180.88,270.0,bottom
C18,218.12,-179.9,180.0,bottom
C19,218.12,-177.0,180.0,bottom
C2,218.2276,-173.0,0.0,bottom
C20,166.795,-173.0,180.0,bottom
C21,156.245,-171.75,0.0,bottom
C22,157.02,-174.5,90.0,bottom
C23,167.0,-178.25,180.0,bottom
C24,167.0,-176.25,180.0,bottom
C25,167.0,-177.25,180.0,bottom
C26,229.339,-176.6,270.0,bottom
C27,302.52,-148.18,270.0,bottom
C28,231.489,-176.6,270.0,bottom
C29,296.52,-148.18,270.0,bottom
C3,218.225,-170.9,0.0,bottom
C30,190.1,-103.5,180.0,bottom
C31,185.35,-141.6,180.0,bottom
C32,228.44,-167.45,180.0,bottom
C33,132.95,-103.5,180.0,bottom
C34,256.8,-122.55,180.0,bottom
C35,299.17,-141.12,90.0,bottom
C36,328.44,-105.55,0.0,bottom
C37,326.04,-143.4,0.0,bottom
C38,266.3,-103.5,180.0,bottom
C39,128.2,-141.6,180.0,bottom
C4,220.52,-180.98,90.0,bottom
C40,196.32,-175.58,90.0,bottom
C41,199.62,-122.55,180.0,bottom
C42,137.75,-160.65,180.0,bottom
C43,142.5,-122.55,180.0,bottom
C44,280.6,-141.6,180.0,bottom
C45,268.7,-179.7,180.0,bottom
C46,275.85,-122.55,180.0,bottom
C47,233.37,-160.65,180.0,bottom
C48,337.27,-123.03,270.0,bottom
C49,195.3,-160.65,180.0,bottom
C5,218.225,-172.0,0.0,bottom
C50,75.8,-103.5,180.0,bottom
C51,223.5,-141.6,180.0,bottom
C52,152.0,-103.5,180.0,bottom
C53,147.25,-141.6,180.0,bottom
C54,252.55,-160.65,180.0,bottom
C55,209.15,-103.5,180.0,bottom
C56,118.7,-160.65,180.0,bottom
C57,285.35,-103.5,180.0,bottom
C58,261.55,-141.6,180.0,bottom
C59,94.85,-103.5,180.0,bottom
C6,227.02,-168.28,90.0,bottom
C60,80.6,-122.55,180.0,bottom
C61,87.75,-160.65,180.0,bottom
