Designator,Mid X,Mid Y,Rotation,Layer
C1,222.4556,-170.5826,90.0,bottom
C10,226.2535,-177.479,0.0,bottom
C11,226.2485,-179.629,0.0,bottom
C12,221.2023,-179.1107,180.0,bottom
C13,221.201,-174.8398,0.0,bottom
C14,224.259,-166.445,180.0,bottom
C15,226.799,-166.445,0.0,bottom
C17,158.4346,-170.4582,180.0,bottom
C18,170.424,-175.1064,180.0,bottom
C19,169.8496,-173.7856,180.0,bottom
C2,222.001,-168.985,180.0,bottom
C20,169.8496,-171.1186,180.0,bottom
C21,170.424,-172.4394,180.0,bottom
C22,310.1985,-91.209,0.0,bottom
C23,160.759,-172.0708,90.0,bottom
C24,164.6452,-167.997,90.0,bottom
C27,62.2665,-105.532,90.0,bottom
C28,63.6635,-105.532,270.0,bottom
C29,223.2176,-178.101,270.0,bottom
C31,222.001,-167.842,180.0,bottom
C32,229.7962,-166.572,90.0,bottom
C33,230.863,-166.572,90.0,bottom
C34,228.7294,-166.5746,90.0,bottom
C35,233.375,-172.414,180.0,bottom
C36,233.375,-174.9032,180.0,bottom
C37,221.2136,-173.4554,0.0,bottom
D1,80.1765,-97.722,90.0,bottom
D10,251.6265,-97.722,90.0,bottom
D11,270.6765,-97.722,90.0,bottom
D12,289.7265,-97.722,90.0,bottom
D13,308.7765,-97.722,90.0,bottom
D14,330.2735,-87.734,180.0,bottom
D15,84.939,-116.772,90.0,bottom
D16,108.7515,-116.772,90.0,bottom
D17,127.8015,-116.772,90.0,bottom
D18,146.8515,-116.772,90.0,bottom
D19,165.9015,-116.772,90.0,bottom
D2,99.2265,-97.722,90.0,bottom
D20,184.9515,-116.772,90.0,bottom
D21,204.0015,-116.772,90.0,bottom
D22,223.0515,-116.772,90.0,bottom
D23,242.1015,-116.772,90.0,bottom
D24,261.1515,-116.772,90.0,bottom
D25,280.2015,-116.772,90.0,bottom
D26,299.2515,-116.772,90.0,bottom
D27,318.3015,-116.772,90.0,bottom
D28,342.114,-116.772,90.0,bottom
D29,87.32025,-135.822,90.0,bottom
D3,118.2765,-97.722,90.0,bottom
D30,113.514,-135.822,90.0,bottom
D31,132.564,-135.822,90.0,bottom
D32,151.614,-135.822,90.0,bottom
D33,170.664,-135.822,90.0,bottom
D34,189.714,-135.822,90.0,bottom
D35,208.764,-135.822,90.0,bottom
D36,227.814,-135.822,90.0,bottom
D37,246.864,-135.822,90.0,bottom
D38,265.914,-135.822,90.0,bottom
D39,284.964,-135.822,90.0,bottom
D4,137.3265,-97.722,90.0,bottom
D40,304.014,-135.822,90.0,bottom
D41,334.97025,-135.822,90.0,bottom
D42,92.08275,-154.872,90.0,bottom
D43,123.039,-154.872,90.0,bottom
D44,142.089,-154.872,90.0,bottom
D45,161.139,-154.872,90.0,bottom
D46,180.189,-154.872,90.0,bottom
D47,199.239,-154.872,90.0,bottom
D48,218.289,-154.872,90.0,bottom
D49,237.339,-154.872,90.0,bottom
D5,156.3765,-97.722,90.0,bottom
D50,256.389,-154.872,90.0,bottom
D51,275.439,-154.872,90.0,bottom
D52,294.489,-154.872,90.0,bottom
D53,330.20775,-154.872,90.0,bottom
D54,82.55775,-173.922,90.0,bottom
D55,106.37025,-173.922,90.0,bottom
D56,130.18275,-173.922,90.0,bottom
D57,201.62025,-173.922,90.0,bottom
D58,273.05775,-173.922,90.0,bottom
D59,296.87025,-173.922,90.0,bottom
D6,175.4265,-97.722,90.0,bottom
D60,320.68275,-173.922,90.0,bottom
D61,344.49525,-173.922,90.0,bottom
D7,194.4765,-97.722,90.0,bottom
D8,213.5265,-97.722,90.0,bottom
D9,232.5765,-97.722,90.0,bottom
E1,226.5785,-183.754,270.0,bottom
IC2,313.7735,-91.264,270.0,bottom
J1,315.9935,-80.4415,180.0,top
J2,138.7435,-177.24,0.0,bottom
L3,226.5735,-178.549,270.0,bottom
L4,226.5735,-180.699,270.0,bottom
L5,158.1719,-172.1346,180.0,bottom
LED1,72.1765,-102.222,180.0,bottom
LED10,243.6265,-102.222,180.0,bottom
LED11,262.6765,-102.222,180.0,bottom
LED12,281.7265,-102.222,180.0,bottom
LED13,300.7765,-102.222,180.0,bottom
LED14,329.3515,-102.222,180.0,bottom
LED15,76.939,-121.272,180.0,bottom
LED16,100.7515,-121.272,180.0,bottom
LED17,119.8015,-121.272,180.0,bottom
LED18,138.8515,-121.272,180.0,bottom
LED19,157.9015,-121.272,180.0,bottom
LED2,91.2265,-102.222,180.0,bottom
LED20,176.9515,-121.272,180.0,bottom
LED21,196.0015,-121.272,180.0,bottom
LED22,215.0515,-121.272,180.0,bottom
LED23,234.1015,-121.272,180.0,bottom
LED24,253.1515,-121.272,180.0,bottom
LED25,272.2015,-121.272,180.0,bottom
LED26,291.2515,-121.272,180.0,bottom
LED27,310.3015,-121.272,180.0,bottom
LED28,334.114,-121.272,180.0,bottom
LED29,79.32025,-140.322,180.0,bottom
LED3,110.2765,-102.222,180.0,bottom
LED30,105.514,-140.322,180.0,bottom
LED31,124.564,-140.322,180.0,bottom
LED32,143.614,-140.322,180.0,bottom
LED33,162.664,-140.322,180.0,bottom
LED34,181.714,-140.322,180.0,bottom
LED35,200.764,-140.322,180.0,bottom
LED36,219.814,-140.322,180.0,bottom
LED37,238.864,-140.322,180.0,bottom
LED38,257.914,-140.322,180.0,bottom
LED39,276.964,-140.322,180.0,bottom
LED4,129.3265,-102.222,180.0,bottom
LED40,296.014,-140.322,180.0,bottom
LED41,326.97025,-140.322,180.0,bottom
LED42,84.08275,-159.372,180.0,bottom
LED43,115.039,-159.372,180.0,bottom
LED44,134.089,-159.372,180.0,bottom
LED45,153.139,-159.372,180.0,bottom
LED46,172.189,-159.372,180.0,bottom
LED47,191.239,-159.372,180.0,bottom
LED48,210.289,-159.372,180.0,bottom
LED49,229.339,-159.372,180.0,bottom
LED5,148.3765,-102.222,180.0,bottom
LED50,248.389,-159.372,180.0,bottom
LED51,267.439,-159.372,180.0,bottom
LED52,286.489,-159.372,180.0,bottom
LED53,322.20775,-159.372,180.0,bottom
LED54,74.55775,-178.422,180.0,bottom
LED55,98.37025,-178.422,180.0,bottom
LED56,122.18275,-178.422,180.0,bottom
LED57,193.62025,-178.422,180.0,bottom
LED58,265.05775,-178.422,180.0,bottom
LED59,288.87025,-178.422,180.0,bottom
LED6,167.4265,-102.222,180.0,bottom
LED60,312.68275,-178.422,180.0,bottom
LED61,336.49525,-178.422,180.0,bottom
LED7,186.4765,-102.222,180.0,bottom
LED8,205.5265,-102.222,180.0,bottom
LED9,224.5765,-102.222,180.0,bottom
PMIC1,164.8935,-172.504,180.0,bottom
R1,166.601,-165.0968,270.0,bottom
R2,165.1512,-166.4196,180.0,bottom
R3,168.9867,-167.9182,180.0,bottom
R8,65.4395,-103.147,0.0,bottom
S1,72.1765,-96.722,0.0,bottom
S10,243.6265,-96.722,0.0,bottom
S11,262.6765,-96.722,0.0,bottom
S12,281.7265,-96.722,0.0,bottom
S13,300.7765,-96.722,0.0,bottom
S14,329.3515,-96.722,0.0,bottom
S15,76.939,-115.772,0.0,bottom
S16,100.7515,-115.772,0.0,bottom
S17,119.8015,-115.772,0.0,bottom
S18,138.8515,-115.772,0.0,bottom
S19,157.9015,-115.772,0.0,bottom
S2,91.2265,-96.722,0.0,bottom
S20,176.9515,-115.772,0.0,bottom
S21,196.0015,-115.772,0.0,bottom
S22,215.0515,-115.772,0.0,bottom
S23,234.1015,-115.772,0.0,bottom
S24,253.1515,-115.772,0.0,bottom
S25,272.2015,-115.772,0.0,bottom
S26,291.2515,-115.772,0.0,bottom
S27,310.3015,-115.772,0.0,bottom
S28,334.114,-115.772,0.0,bottom
S29,79.32025,-134.822,0.0,bottom
S3,110.2765,-96.722,0.0,bottom
S30,105.514,-134.822,0.0,bottom
